"Package","Version","source"
"abind","1.4-8","loaded"
"admisc","0.39","dependency"
"afex","1.5-1","dependency"
"affy","1.88.0","loaded"
"affyio","1.80.0","loaded"
"annotate","1.88.0","loaded"
"AnnotationDbi","1.72.0","loaded"
"ape","5.8-1","loaded"
"aplot","0.2.9","loaded"
"askpass","1.2.1","dependency"
"assorthead","1.4.0","dependency"
"backports","1.5.0","loaded"
"base","4.5.1","loaded"
"base64enc","0.1-4","dependency"
"BayesFactor","0.9.12-4.7","loaded"
"bayestestR","0.17.0","loaded"
"beachmat","2.26.0","loaded"
"BH","1.90.0-1","dependency"
"Biobase","2.70.0","loaded"
"BiocFileCache","3.0.0","loaded"
"BiocGenerics","0.56.0","loaded"
"BiocManager","1.30.27","loaded"
"BiocManager","1.30.27","loaded"
"BiocParallel","1.44.0","loaded"
"BiocSingular","1.26.1","loaded"
"biomaRt","2.66.0","loaded"
"Biostrings","2.78.0","loaded"
"bit","4.6.0","loaded"
"bit64","4.6.0-1","loaded"
"blob","1.2.4","loaded"
"boot","1.3-32","loaded"
"broom","1.0.11","loaded"
"bslib","0.9.0","loaded"
"BWStest","0.2.3","loaded"
"cachem","1.1.0","loaded"
"Cairo","1.7-0","loaded"
"callr","3.7.6","dependency"
"car","3.1-3","dependency"
"carData","3.0-5","dependency"
"cellranger","1.1.0","dependency"
"circlize","0.4.17","loaded"
"cli","3.6.5","loaded"
"clipr","0.8.0","dependency"
"clue","0.3-66","loaded"
"cluster","2.1.8.1","loaded"
"clusterProfiler","4.16.0","loaded"
"coda","0.19-4.1","loaded"
"codetools","0.2-20","loaded"
"colorspace","2.1-2","loaded"
"compiler","4.5.1","loaded"
"ComplexHeatmap","2.26.0","loaded"
"conflicted","1.2.0","dependency"
"contfrac","1.1-12","dependency"
"correlation","0.8.8","loaded"
"cowplot","1.2.0","loaded"
"cpp11","0.5.2","dependency"
"crayon","1.5.3","loaded"
"crosstalk","1.2.2","loaded"
"curl","7.0.0","loaded"
"data.table","1.17.8","loaded"
"datasets","4.5.1","loaded"
"datawizard","1.3.0","loaded"
"DBI","1.2.3","loaded"
"dbplyr","2.5.1","loaded"
"decoupleR","2.16.0","dependency"
"DelayedArray","0.36.0","loaded"
"Deriv","4.2.0","dependency"
"desc","1.4.3","dependency"
"DESeq2","1.50.2","loaded"
"deSolve","1.40","dependency"
"dichromat","2.0-0.1","loaded"
"digest","0.6.39","loaded"
"doBy","4.7.1","dependency"
"doParallel","1.0.17","loaded"
"DOSE","4.2.0","loaded"
"DOSE","4.4.0","loaded"
"dplyr","1.1.4","loaded"
"DT","0.34.0","loaded"
"dtplyr","1.3.2","dependency"
"effectsize","1.0.1","loaded"
"elliptic","1.5-1","dependency"
"emmeans","2.0.1","loaded"
"enrichplot","1.28.4","loaded"
"estimability","1.5.1","loaded"
"eulerr","7.0.4","loaded"
"evaluate","1.0.5","loaded"
"farver","2.1.2","loaded"
"fastmap","1.2.0","loaded"
"fastmatch","1.1-6","loaded"
"fdrtool","1.2.18","loaded"
"fgsea","1.36.0","loaded"
"filelock","1.0.3","loaded"
"fontawesome","0.5.3","dependency"
"fontBitstreamVera","0.1.1","loaded"
"fontLiberation","0.1.0","loaded"
"fontquiver","0.2.1","loaded"
"forcats","1.0.1","loaded"
"foreach","1.5.2","loaded"
"forecast","8.24.0","dependency"
"formatR","1.14","dependency"
"Formula","1.2-5","dependency"
"fracdiff","1.5-3","dependency"
"fs","1.6.6","loaded"
"futile.logger","1.4.3","dependency"
"futile.options","1.0.1","dependency"
"gargle","1.6.0","dependency"
"gdtools","0.4.4","loaded"
"generics","0.1.4","loaded"
"GenomeInfoDb","1.46.2","loaded"
"GenomicRanges","1.62.1","loaded"
"GenSA","1.1.15","dependency"
"GEOquery","2.78.0","loaded"
"GetoptLong","1.1.0","loaded"
"getPass","0.2-4","dependency"
"ggcorrplot","0.1.4.1","dependency"
"ggforce","0.5.0","dependency"
"ggfun","0.2.0","loaded"
"ggiraph","0.9.2","loaded"
"ggnewscale","0.5.2","dependency"
"ggplot2","4.0.1","loaded"
"ggplotify","0.1.3","loaded"
"ggrepel","0.9.6","loaded"
"ggside","0.4.1","dependency"
"ggsignif","0.6.4","loaded"
"ggstatsplot","0.13.4","loaded"
"ggtangle","0.0.8","loaded"
"ggtree","4.0.3","loaded"
"ggVennDiagram","1.5.4","loaded"
"git2r","0.36.2","dependency"
"GlobalOptions","0.1.3","loaded"
"glue","1.8.0","loaded"
"gmp","0.7-5","loaded"
"GO.db","3.22.0","loaded"
"googledrive","2.1.2","dependency"
"googlesheets4","1.1.2","dependency"
"GOSemSim","2.34.0","loaded"
"GOSemSim","2.36.0","loaded"
"graph","1.88.1","loaded"
"graphics","4.5.1","loaded"
"grDevices","4.5.1","loaded"
"grid","4.5.1","loaded"
"gridExtra","2.3","loaded"
"gridGraphics","0.5-1","loaded"
"GSEABase","1.72.0","loaded"
"gson","0.1.0","loaded"
"GSVA","2.4.4","loaded"
"gtable","0.3.6","loaded"
"h5mread","1.2.1","loaded"
"haven","2.5.5","dependency"
"HDF5Array","1.38.0","loaded"
"hexbin","1.28.5","loaded"
"highr","0.11","dependency"
"hms","1.1.4","loaded"
"htmltools","0.5.9","loaded"
"htmlwidgets","1.6.4","loaded"
"httpuv","1.6.16","loaded"
"httr","1.4.7","loaded"
"httr2","1.2.2","loaded"
"hypergeo","1.2-14","dependency"
"ids","1.0.1","dependency"
"igraph","2.2.1","loaded"
"IHW","1.36.0","loaded"
"insight","1.4.4","loaded"
"IRanges","2.44.0","loaded"
"irlba","2.3.5.1","loaded"
"irlba","2.3.5.1","loaded"
"isoband","0.3.0","dependency"
"iterators","1.0.14","loaded"
"jose","1.2.1","dependency"
"jquerylib","0.1.4","loaded"
"jsonlite","2.0.0","loaded"
"KEGGREST","1.50.0","loaded"
"knitr","1.51","loaded"
"kSamples","1.2-12","loaded"
"labeling","0.4.3","loaded"
"lambda.r","1.2.4","dependency"
"later","1.4.4","loaded"
"lattice","0.22-7","loaded"
"lazyeval","0.2.2","loaded"
"lifecycle","1.0.4","loaded"
"limma","3.66.0","loaded"
"lme4","1.1-38","dependency"
"lmerTest","3.1-3","dependency"
"lmtest","0.9-40","dependency"
"locfit","1.5-9.12","loaded"
"lpsymphony","1.36.0","loaded"
"lubridate","1.9.4","loaded"
"magick","2.9.0","loaded"
"magrittr","2.0.4","loaded"
"MASS","7.3-65","loaded"
"Matrix","1.6-5","loaded"
"Matrix","1.7-4","loaded"
"MatrixGenerics","1.22.0","loaded"
"MatrixModels","0.5-4","loaded"
"matrixStats","1.5.0","loaded"
"memoise","2.0.1","loaded"
"memuse","4.2-3","loaded"
"methods","4.5.1","loaded"
"mgcv","1.9-4","dependency"
"microbenchmark","1.5.0","dependency"
"mime","0.13","dependency"
"minqa","1.2.8","dependency"
"modelr","0.1.11","dependency"
"multcomp","1.4-29","loaded"
"multcompView","0.1-10","loaded"
"mvtnorm","1.3-3","loaded"
"nlme","3.1-168","loaded"
"nloptr","2.2.1","dependency"
"nnet","7.3-20","dependency"
"numDeriv","2016.8-1.1","dependency"
"openssl","2.3.4","dependency"
"org.Mm.eg.db","3.22.0","loaded"
"otel","0.2.0","loaded"
"otel","0.2.0","loaded"
"packrat","0.9.3","dependency"
"paletteer","1.6.0","loaded"
"parallel","4.5.1","loaded"
"parallelly","1.46.0","dependency"
"parameters","0.28.3","loaded"
"patchwork","1.3.2","loaded"
"pbapply","1.7-4","loaded"
"pbkrtest","0.5.5","dependency"
"performance","0.15.3","loaded"
"pheatmap","1.0.13","loaded"
"pillar","1.11.1","loaded"
"pkgbuild","1.4.8","dependency"
"pkgconfig","2.0.3","loaded"
"pkgload","1.4.1","loaded"
"PKI","0.1-15","dependency"
"plogr","0.2.0","dependency"
"plyr","1.8.9","loaded"
"PMCMRplus","1.9.12","loaded"
"png","0.1-8","loaded"
"polyclip","1.10-7","loaded"
"polylabelr","0.3.0","loaded"
"preprocessCore","1.72.0","loaded"
"prettyunits","1.2.0","loaded"
"prismatic","1.1.2","loaded"
"processx","3.8.6","dependency"
"progeny","1.32.0","loaded"
"progress","1.2.3","loaded"
"promises","1.5.0","loaded"
"ps","1.9.1","dependency"
"purrr","1.2.0","loaded"
"quadprog","1.5-8","dependency"
"quantmod","0.4.28","dependency"
"quantreg","6.1","dependency"
"qvalue","2.42.0","loaded"
"R.methodsS3","1.8.2","loaded"
"R.oo","1.27.1","loaded"
"R.utils","2.13.0","loaded"
"R6","2.6.1","loaded"
"ragg","1.5.0","dependency"
"rappdirs","0.3.3","loaded"
"rbibutils","2.4","dependency"
"RColorBrewer","1.1-3","loaded"
"Rcpp","1.1.0","loaded"
"RcppArmadillo","15.2.3-1","dependency"
"RcppEigen","0.3.4.0.2","dependency"
"RcppParallel","5.1.11-1","loaded"
"RcppTOML","0.2.3","dependency"
"Rdpack","2.6.4","dependency"
"readr","2.1.6","loaded"
"readxl","1.4.5","dependency"
"reformulas","0.4.3","dependency"
"rematch","2.0.0","dependency"
"rematch2","2.1.2","loaded"
"rentrez","1.2.4","loaded"
"renv","1.1.5","dependency"
"reprex","2.1.1","dependency"
"reshape","0.8.10","dependency"
"reshape2","1.4.5","loaded"
"Rfunctions","0.1.0","loaded"
"rhdf5","2.54.1","loaded"
"rhdf5filters","1.22.0","loaded"
"Rhdf5lib","1.32.0","loaded"
"rjson","0.2.23","loaded"
"rlang","1.1.6","loaded"
"rmarkdown","2.30","loaded"
"Rmpfr","1.1-2","loaded"
"rprojroot","2.1.1","dependency"
"rsconnect","1.7.0","loaded"
"RSQLite","2.4.5","loaded"
"rstantools","2.5.0","loaded"
"rstudioapi","0.17.1","loaded"
"rsvd","1.0.5","loaded"
"rvest","1.0.5","dependency"
"S4Arrays","1.10.1","loaded"
"S4Vectors","0.48.0","loaded"
"S7","0.2.1","loaded"
"sandwich","3.1-1","loaded"
"sass","0.4.10","loaded"
"ScaledMatrix","1.18.0","loaded"
"scales","1.4.0","loaded"
"scatterpie","0.2.6","dependency"
"selectr","0.5-1","dependency"
"Seqinfo","1.0.0","loaded"
"shape","1.4.6.1","loaded"
"SingleCellExperiment","1.32.0","loaded"
"slam","0.1-55","loaded"
"snow","0.4-4","dependency"
"snowflakeauth","0.2.0","dependency"
"SparseArray","1.10.8","loaded"
"SparseM","1.84-2","dependency"
"sparseMatrixStats","1.22.0","loaded"
"SpatialExperiment","1.20.0","loaded"
"splines","4.5.1","loaded"
"statmod","1.5.1","loaded"
"stats","4.5.1","loaded"
"stats4","4.5.1","loaded"
"statsExpressions","1.7.2","loaded"
"stringi","1.8.7","loaded"
"stringr","1.6.0","loaded"
"SummarizedExperiment","1.40.0","loaded"
"SuppDists","1.1-9.9","loaded"
"survival","3.8-3","loaded"
"sys","3.4.3","dependency"
"systemfonts","1.3.1","loaded"
"textshaping","1.0.4","dependency"
"TH.data","1.1-5","loaded"
"tibble","3.3.0","loaded"
"tidyr","1.3.2","loaded"
"tidyselect","1.2.1","loaded"
"tidytree","0.4.6","loaded"
"tidyverse","2.0.0","loaded"
"timechange","0.3.0","loaded"
"timeDate","4051.111","dependency"
"tinytex","0.58","dependency"
"tools","4.5.1","loaded"
"treeio","1.34.0","loaded"
"tseries","0.10-58","dependency"
"TTR","0.24.4","dependency"
"tweenr","2.0.3","dependency"
"tzdb","0.5.0","loaded"
"UCSC.utils","1.6.1","loaded"
"UpSetR","1.4.0","loaded"
"urca","1.3-4","dependency"
"utf8","1.2.6","loaded"
"utils","4.5.1","loaded"
"uuid","1.2-1","dependency"
"vctrs","0.6.5","loaded"
"venn","1.12","dependency"
"viridisLite","0.4.2","dependency"
"vroom","1.6.7","dependency"
"vsn","3.78.0","loaded"
"whisker","0.4.1","dependency"
"withr","3.0.2","loaded"
"workflowr","1.7.2","loaded"
"writexl","1.5.4","loaded"
"WRS2","1.1-7","dependency"
"xfun","0.55","loaded"
"XML","3.99-0.20","loaded"
"xml2","1.5.1","loaded"
"xtable","1.8-4","loaded"
"xts","0.14.1","dependency"
"XVector","0.50.0","loaded"
"yaml","2.3.12","loaded"
"yulab.utils","0.2.3","loaded"
"zeallot","0.2.0","loaded"
"zoo","1.8-15","loaded"
